2016-17 Rank,Rank in the most recent five years,Trend,School Name,City,2016-17 Rating,Rating in the most recent five years,link,path,lableName,lat,lon
1/747,1/623,—,St Michael's Choir,Toronto,9.4,9.6,http://ontario.compareschoolrankings.org/secondary/St_Michael's_Choir_(Sr)_School/Toronto/Report_Card.aspx,/secondary/St_Michael's_Choir_(Sr)_School/Toronto/Report_Card.aspx,(1) St Michael's Choir,43.655026,-79.3778025
2/747,9/623,—,Abbey Park,Oakville,9.2,8.9,http://ontario.compareschoolrankings.org/secondary/Abbey_Park_High_School/Oakville/Report_Card.aspx,/secondary/Abbey_Park_High_School/Oakville/Report_Card.aspx,(2) Abbey Park,43.4360228,-79.7350294
2/747,9/623,—,St Robert,Thornhill,9.2,8.9,http://ontario.compareschoolrankings.org/secondary/St_Robert_Catholic_High_School/Thornhill/Report_Card.aspx,/secondary/St_Robert_Catholic_High_School/Thornhill/Report_Card.aspx,(2) St Robert,43.8379902,-79.3805789
4/747,2/623,—,Colonel By,Gloucester,9.1,9.2,http://ontario.compareschoolrankings.org/secondary/Colonel_By_Secondary_School/Gloucester/Report_Card.aspx,/secondary/Colonel_By_Secondary_School/Gloucester/Report_Card.aspx,(4) Colonel By,45.4309439,-75.620036
4/747,4/623,—,St Therese of Lisieux,Richmond Hill,9.1,9.0,http://ontario.compareschoolrankings.org/secondary/St_Therese_of_Lisieux_Catholic_High_School/Richmond_Hill/Report_Card.aspx,/secondary/St_Therese_of_Lisieux_Catholic_High_School/Richmond_Hill/Report_Card.aspx,(4) St Therese of Lisieux,43.8954727,-79.4654877
4/747,12/623,,Ursula Franklin,Toronto,9.1,8.8,http://ontario.compareschoolrankings.org/secondary/Ursula_Franklin_Academy/Toronto/Report_Card.aspx,/secondary/Ursula_Franklin_Academy/Toronto/Report_Card.aspx,(4) Ursula Franklin,43.6576892,-79.4729511
4/747,n/a,n/a,Ange-Gabriel,Brockville,9.1,n/a,http://ontario.compareschoolrankings.org/secondary/%c3%89cole_secondaire_catholique_Acad%c3%a9mie_cath._Ange-Ga/Brockville/Report_Card.aspx,/secondary/%c3%89cole_secondaire_catholique_Acad%c3%a9mie_cath._Ange-Ga/Brockville/Report_Card.aspx,(4) Ange-Gabriel,44.611397,-75.717994
4/747,n/a,n/a,Confédération,Welland,9.1,n/a,http://ontario.compareschoolrankings.org/secondary/%c3%89cole_secondaire_Conf%c3%a9d%c3%a9ration/Welland/Report_Card.aspx,/secondary/%c3%89cole_secondaire_Conf%c3%a9d%c3%a9ration/Welland/Report_Card.aspx,(4) Confédération,42.9889,-79.2235
9/747,4/623,—,Bayview,Richmond Hill,9.0,9.0,http://ontario.compareschoolrankings.org/secondary/Bayview_Secondary_School/Richmond_Hill/Report_Card.aspx,/secondary/Bayview_Secondary_School/Richmond_Hill/Report_Card.aspx,(9) Bayview,43.8784008,-79.4151077
9/747,22/623,—,St Joseph's,Renfrew,9.0,8.5,http://ontario.compareschoolrankings.org/secondary/St_Joseph's_High_School/Renfrew/Report_Card.aspx,/secondary/St_Joseph's_High_School/Renfrew/Report_Card.aspx,(9) St Joseph's,45.4639043,-76.6697805
11/747,3/623,—,London Central,London,8.9,9.1,http://ontario.compareschoolrankings.org/secondary/London_Central_Secondary_School/London/Report_Card.aspx,/secondary/London_Central_Secondary_School/London/Report_Card.aspx,(11) London Central,42.9883864,-81.2438771
11/747,4/623,—,Markville,Markham,8.9,9.0,http://ontario.compareschoolrankings.org/secondary/Markville_Secondary_School/Markham/Report_Card.aspx,/secondary/Markville_Secondary_School/Markham/Report_Card.aspx,(11) Markville,43.8765607,-79.2891283
11/747,9/623,—,Oakville Trafalgar,Oakville,8.9,8.9,http://ontario.compareschoolrankings.org/secondary/Oakville_Trafalgar_High_School/Oakville/Report_Card.aspx,/secondary/Oakville_Trafalgar_High_School/Oakville/Report_Card.aspx,(11) Oakville Trafalgar,43.4731152,-79.6557367
11/747,20/623,—,St Michael,Kemptville,8.9,8.6,http://ontario.compareschoolrankings.org/secondary/St_Michael_High_School/Kemptville/Report_Card.aspx,/secondary/St_Michael_High_School/Kemptville/Report_Card.aspx,(11) St Michael,45.0225523,-75.6506757
11/747,104/623,,Marie-Rivier,Kingston,8.9,7.5,http://ontario.compareschoolrankings.org/secondary/%c3%89cole_secondaire_catholique_Marie-Rivier/Kingston/Report_Card.aspx,/secondary/%c3%89cole_secondaire_catholique_Marie-Rivier/Kingston/Report_Card.aspx,(11) Marie-Rivier,44.2694915,-76.5234065
11/747,n/a,n/a,Wali ul Asr,Caledon,8.9,n/a,http://ontario.compareschoolrankings.org/secondary/Wali_ul_Asr_School_-_Central_Campus/Caledon/Report_Card.aspx,/secondary/Wali_ul_Asr_School_-_Central_Campus/Caledon/Report_Card.aspx,(11) Wali ul Asr,43.8464844,-79.707436
17/747,4/623,,Unionville,Unionville,8.8,9.0,http://ontario.compareschoolrankings.org/secondary/Unionville_High_School/Unionville/Report_Card.aspx,/secondary/Unionville_High_School/Unionville/Report_Card.aspx,(17) Unionville,43.857503,-79.339281
17/747,12/623,—,St Augustine,Markham,8.8,8.8,http://ontario.compareschoolrankings.org/secondary/St_Augustine_Catholic_High_School/Markham/Report_Card.aspx,/secondary/St_Augustine_Catholic_High_School/Markham/Report_Card.aspx,(17) St Augustine,43.8763537,-79.3584267
